pair,method,relation_dim,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:ap,relation_zdist,33,0.9,2.130124398019035,1.0,1.0635397513421319,1.2540878938768913,0.1905481425347595,4.491770889336824,0.21568786845290955,0.46335375,0.23333333333333334,0.8125,0.104,0.18439716312056736,208,352,48,1792
iq:ap,relation_zdist,33,0.95,4.106689245609339,1.0,1.0635397513421319,1.2540878938768913,0.1905481425347595,4.491770889336824,0.21568786845290955,0.46335375,0.20166666666666666,0.8181818181818182,0.054,0.10131332082551595,108,376,24,1892
iq:ap,relation_zdist,33,0.97,5.932951303866707,1.0,1.0635397513421319,1.2540878938768913,0.1905481425347595,4.491770889336824,0.21568786845290955,0.46335375,0.18833333333333332,0.8611111111111112,0.031,0.05984555984555984,62,390,10,1938
iq:ap,relation_pca_residual,33,0.9,0.30615907045470514,0.14529838477092274,0.20850888318753996,0.25379315059803786,0.0452842674104979,0.752277073962123,0.06207925295981204,0.49486,0.24916666666666668,0.8173076923076923,0.1275,0.22058823529411767,255,343,57,1745
iq:ap,relation_pca_residual,33,0.95,0.6189853363617297,0.14529838477092274,0.20850888318753996,0.25379315059803786,0.0452842674104979,0.752277073962123,0.06207925295981204,0.49486,0.20208333333333334,0.7972027972027972,0.057,0.10639290713952403,114,371,29,1886
iq:ap,relation_pca_residual,33,0.97,0.8432943855439698,0.14529838477092274,0.20850888318753996,0.25379315059803786,0.0452842674104979,0.752277073962123,0.06207925295981204,0.49486,0.1925,0.8229166666666666,0.0395,0.07538167938931298,79,383,17,1921
iq:ap,relation_shrinkage_mahalanobis,33,0.9,68.72912858904172,28.833763550952554,35.57521933643714,43.970276345811655,8.395057009374518,147.9969601440625,8.662561997783168,0.4830775,0.23708333333333334,0.8188679245283019,0.1085,0.19161147902869757,217,352,48,1783
iq:ap,relation_shrinkage_mahalanobis,33,0.95,117.09242606054273,28.833763550952554,35.57521933643714,43.970276345811655,8.395057009374518,147.9969601440625,8.662561997783168,0.4830775,0.20541666666666666,0.8120805369127517,0.0605,0.1126105165193113,121,372,28,1879
iq:ap,relation_shrinkage_mahalanobis,33,0.97,180.3572696760587,28.833763550952554,35.57521933643714,43.970276345811655,8.395057009374518,147.9969601440625,8.662561997783168,0.4830775,0.1875,0.8125,0.0325,0.0625,65,385,15,1935
iq:fft,relation_zdist,33,0.9,2.379679635335007,1.0,1.243674304293429,1.0781567205139937,-0.16551758377943537,4.416660808040841,0.30983028549701197,0.47574125,0.23208333333333334,0.8369098712446352,0.0975,0.1746529332736229,195,362,38,1805
iq:fft,relation_zdist,33,0.95,3.9178486152396,1.0,1.243674304293429,1.0781567205139937,-0.16551758377943537,4.416660808040841,0.30983028549701197,0.47574125,0.20291666666666666,0.8222222222222222,0.0555,0.10398126463700234,111,376,24,1889
iq:fft,relation_zdist,33,0.97,5.482439419300427,1.0,1.243674304293429,1.0781567205139937,-0.16551758377943537,4.416660808040841,0.30983028549701197,0.47574125,0.18916666666666668,0.8214285714285714,0.0345,0.06621880998080615,69,385,15,1931
iq:fft,relation_pca_residual,33,0.9,0.39545442255198354,0.18207612863787864,0.3185282152585433,0.24645365511356773,-0.07207456014497557,0.7790329446258927,0.08334021740358655,0.48933875,0.23708333333333334,0.8262548262548263,0.107,0.18946436476316955,214,355,45,1786
iq:fft,relation_pca_residual,33,0.95,0.7317967080403935,0.18207612863787864,0.3185282152585433,0.24645365511356773,-0.07207456014497557,0.7790329446258927,0.08334021740358655,0.48933875,0.20375,0.8345864661654135,0.0555,0.10407876230661042,111,378,22,1889
iq:fft,relation_pca_residual,33,0.97,0.9600496904627724,0.18207612863787864,0.3185282152585433,0.24645365511356773,-0.07207456014497557,0.7790329446258927,0.08334021740358655,0.48933875,0.18958333333333333,0.8021978021978022,0.0365,0.06982305117168819,73,382,18,1927
iq:fft,relation_shrinkage_mahalanobis,33,0.9,75.2717905798353,29.786310356719415,43.27901752996659,36.20732817138866,-7.0716893585779275,133.22926998776768,11.021435432668074,0.4845475,0.23333333333333334,0.8333333333333334,0.1,0.17857142857142858,200,360,40,1800
iq:fft,relation_shrinkage_mahalanobis,33,0.95,124.06520005254767,29.786310356719415,43.27901752996659,36.20732817138866,-7.0716893585779275,133.22926998776768,11.021435432668074,0.4845475,0.2025,0.8307692307692308,0.054,0.10140845070422536,108,378,22,1892
iq:fft,relation_shrinkage_mahalanobis,33,0.97,165.63451854687744,29.786310356719415,43.27901752996659,36.20732817138866,-7.0716893585779275,133.22926998776768,11.021435432668074,0.4845475,0.19166666666666668,0.8260869565217391,0.038,0.07265774378585087,76,384,16,1924
iq:stft,relation_zdist,33,0.9,1.8826568895077356,0.9999999999999997,1.1619993753442068,0.9653667914129063,-0.19663258393130056,3.7686594463707395,0.4573569527329381,0.4711725,0.22416666666666665,0.8,0.092,0.16502242152466368,184,354,46,1816
iq:stft,relation_zdist,33,0.95,3.213046393758646,0.9999999999999997,1.1619993753442068,0.9653667914129063,-0.19663258393130056,3.7686594463707395,0.4573569527329381,0.4711725,0.19291666666666665,0.7647058823529411,0.0455,0.08588957055214724,91,372,28,1909
iq:stft,relation_zdist,33,0.97,4.179149211069135,0.9999999999999997,1.1619993753442068,0.9653667914129063,-0.19663258393130056,3.7686594463707395,0.4573569527329381,0.4711725,0.18583333333333332,0.7875,0.0315,0.06057692307692308,63,383,17,1937
iq:stft,relation_pca_residual,33,0.9,0.47720453450188627,0.2688825065148554,0.39440843740467,0.3237604488756278,-0.0706479885290422,1.045650359734529,0.16499139075381425,0.4824575,0.22791666666666666,0.7975708502024291,0.0985,0.17534490431686695,197,350,50,1803
iq:stft,relation_pca_residual,33,0.95,0.7754129958909272,0.2688825065148554,0.39440843740467,0.3237604488756278,-0.0706479885290422,1.045650359734529,0.16499139075381425,0.4824575,0.19875,0.7984496124031008,0.0515,0.0967590418036637,103,374,26,1897
