representation,method,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq,zdist,0.9,1.6364136891424548,0.9999999999999999,0.9546361477278051,0.978373701369959,0.023737553642153908,2.2802832943809563,0.3954352052261376,0.4775475,0.24166666666666667,0.8333333333333334,0.1125,0.19823788546255505,225,355,45,1775
iq,zdist,0.95,2.370411732030558,0.9999999999999999,0.9546361477278051,0.978373701369959,0.023737553642153908,2.2802832943809563,0.3954352052261376,0.4775475,0.20375,0.8503937007874016,0.054,0.10155148095909731,108,381,19,1892
iq,zdist,0.97,3.013345767307876,0.9999999999999999,0.9546361477278051,0.978373701369959,0.023737553642153908,2.2802832943809563,0.3954352052261376,0.4775475,0.19083333333333333,0.8625,0.0345,0.06634615384615386,69,389,11,1931
iq,pca_residual,0.9,0.03808009378755104,0.016660051173898727,0.01940387421948013,0.01980747069723909,0.00040359647775896,0.0759698849038923,0.006512651943620589,0.49417375,0.25583333333333336,0.8519736842105263,0.1295,0.22482638888888892,259,355,45,1741
iq,pca_residual,0.95,0.06798526270548154,0.016660051173898727,0.01940387421948013,0.01980747069723909,0.00040359647775896,0.0759698849038923,0.006512651943620589,0.49417375,0.20875,0.8344370860927153,0.063,0.11715481171548117,126,375,25,1874
iq,pca_residual,0.97,0.09031788455059425,0.016660051173898727,0.01940387421948013,0.01980747069723909,0.00040359647775896,0.0759698849038923,0.006512651943620589,0.49417375,0.19208333333333333,0.8210526315789474,0.039,0.07446300715990453,78,383,17,1922
iq,shrinkage_mahalanobis,0.9,57.50188377271842,23.111428855595758,26.636220820564578,25.65553910534243,-0.980681715222147,87.89644503908944,7.342085429770766,0.50016625,0.23791666666666667,0.8250950570342205,0.1085,0.1917808219178082,217,354,46,1783
iq,shrinkage_mahalanobis,0.95,90.204322073344,23.111428855595758,26.636220820564578,25.65553910534243,-0.980681715222147,87.89644503908944,7.342085429770766,0.50016625,0.20125,0.8373983739837398,0.0515,0.09703250117757889,103,380,20,1897
iq,shrinkage_mahalanobis,0.97,112.2178996904962,23.111428855595758,26.636220820564578,25.65553910534243,-0.980681715222147,87.89644503908944,7.342085429770766,0.50016625,0.18833333333333332,0.825,0.033,0.06346153846153846,66,386,14,1934
ap,zdist,0.9,2.234322418741458,1.0,1.1315215157363514,1.0252454192656346,-0.10627609647071679,5.088899433462684,0.46165421925103,0.49366625,0.23291666666666666,0.8022813688212928,0.1055,0.1864781263809103,211,348,52,1789
ap,zdist,0.95,3.9345970107753545,1.0,1.1315215157363514,1.0252454192656346,-0.10627609647071679,5.088899433462684,0.46165421925103,0.49366625,0.19833333333333333,0.7835820895522388,0.0525,0.09840674789128397,105,371,29,1895
ap,zdist,0.97,5.4922312857992015,1.0,1.1315215157363514,1.0252454192656346,-0.10627609647071679,5.088899433462684,0.46165421925103,0.49366625,0.18125,0.7397260273972602,0.027,0.05209840810419682,54,381,19,1946
ap,pca_residual,0.9,0.03113001962609236,0.015794482794806778,0.016312595814343377,0.018979640570962988,0.002667044756619611,0.04458537734844924,0.012432767601684571,0.55550375,0.28291666666666665,0.8864265927977839,0.16,0.2710715798390513,320,359,41,1680
ap,pca_residual,0.95,0.04421463393260167,0.015794482794806778,0.016312595814343377,0.018979640570962988,0.002667044756619611,0.04458537734844924,0.012432767601684571,0.55550375,0.2275,0.8882978723404256,0.0835,0.1526508226691042,167,379,21,1833
ap,pca_residual,0.97,0.05436550704080625,0.015794482794806778,0.016312595814343377,0.018979640570962988,0.002667044756619611,0.04458537734844924,0.012432767601684571,0.55550375,0.2025,0.8706896551724138,0.0505,0.09546313799621929,101,385,15,1899
ap,shrinkage_mahalanobis,0.9,43.59762764571232,20.255673713091028,22.28717391785538,22.80883306161576,0.521659143760381,78.02796055333685,13.470726784769257,0.53210375,0.24791666666666667,0.8282828282828283,0.123,0.21419242490204612,246,349,51,1754
ap,shrinkage_mahalanobis,0.95,62.64650939138125,20.255673713091028,22.28717391785538,22.80883306161576,0.521659143760381,78.02796055333685,13.470726784769257,0.53210375,0.20708333333333334,0.825503355704698,0.0615,0.11447184737087017,123,374,26,1877
ap,shrinkage_mahalanobis,0.97,79.62698502634333,20.255673713091028,22.28717391785538,22.80883306161576,0.521659143760381,78.02796055333685,13.470726784769257,0.53210375,0.18833333333333332,0.7888888888888889,0.0355,0.06794258373205742,71,381,19,1929
fft,zdist,0.9,2.216901354390927,1.0,0.9967401603863713,1.0670676184843406,0.07032745809796936,2.9424873228665773,0.667294031172476,0.574055,0.24541666666666667,0.8387096774193549,0.117,0.20535322509872753,234,355,45,1766
fft,zdist,0.95,2.672558117286347,1.0,0.9967401603863713,1.0670676184843406,0.07032745809796936,2.9424873228665773,0.667294031172476,0.574055,0.21,0.8466666666666667,0.0635,0.11813953488372093,127,377,23,1873
fft,zdist,0.97,3.295592376833843,1.0,0.9967401603863713,1.0670676184843406,0.07032745809796936,2.9424873228665773,0.667294031172476,0.574055,0.18833333333333332,0.8023255813953488,0.0345,0.06615532118887825,69,383,17,1931
fft,pca_residual,0.9,0.022759275451254404,0.012181273664214478,0.012581733284399276,0.014031463494412023,0.0014497302100127465,0.030511181188566595,0.010449433340179651,0.52715375,0.255,0.8486842105263158,0.129,0.22395833333333334,258,354,46,1742
fft,pca_residual,0.95,0.030290249799110793,0.012181273664214478,0.012581733284399276,0.014031463494412023,0.0014497302100127465,0.030511181188566595,0.010449433340179651,0.52715375,0.22041666666666668,0.8771929824561403,0.075,0.1381851681252879,150,379,21,1850
fft,pca_residual,0.97,0.034613460980491874,0.012181273664214478,0.012581733284399276,0.014031463494412023,0.0014497302100127465,0.030511181188566595,0.010449433340179651,0.52715375,0.20708333333333334,0.8702290076335878,0.057,0.10699202252463633,114,383,17,1886
fft,shrinkage_mahalanobis,0.9,53.289187382521774,29.042702086696018,29.536322255989518,31.79986333135584,2.263541075366323,75.774490235737,24.148240848479727,0.52382125,0.25625,0.8478964401294499,0.131,0.22693806842789085,262,353,47,1738
fft,shrinkage_mahalanobis,0.95,67.36951890834402,29.042702086696018,29.536322255989518,31.79986333135584,2.263541075366323,75.774490235737,24.148240848479727,0.52382125,0.22291666666666668,0.8461538461538461,0.0825,0.15034168564920272,165,370,30,1835
fft,shrinkage_mahalanobis,0.97,82.08790720589877,29.042702086696018,29.536322255989518,31.79986333135584,2.263541075366323,75.774490235737,24.148240848479727,0.52382125,0.20125,0.8878504672897196,0.0475,0.09017560512577123,95,388,12,1905
stft,zdist,0.9,1.7600977619229228,0.9938650306748467,1.024549780081299,0.9864191354626292,-0.038130644618669884,2.526767344646374,0.7491076595150452,0.483955,0.22916666666666666,0.8,0.1,0.1777777777777778,200,350,50,1800
stft,zdist,0.95,2.255757340590132,0.9938650306748467,1.024549780081299,0.9864191354626292,-0.038130644618669884,2.526767344646374,0.7491076595150452,0.483955,0.1925,0.7583333333333333,0.0455,0.08584905660377358,91,371,29,1909
stft,zdist,0.97,2.7022992070449217,0.9938650306748467,1.024549780081299,0.9864191354626292,-0.038130644618669884,2.526767344646374,0.7491076595150452,0.483955,0.18375,0.7662337662337663,0.0295,0.05681271064034666,59,382,18,1941
stft,pca_residual,0.9,0.23828659563414584,0.12987505451970677,0.12426791535598106,0.12618705145534706,0.0019191360993660034,0.27283353279679134,0.10093034768388892,0.51738,0.21458333333333332,0.8212290502793296,0.0735,0.13492427719137218,147,368,32,1853
stft,pca_residual,0.95,0.3115568331770439,0.12987505451970677,0.12426791535598106,0.12618705145534706,0.0019191360993660034,0.27283353279679134,0.10093034768388892,0.51738,0.18625,0.8051948051948052,0.031,0.05970149253731343,62,385,15,1938
stft,pca_residual,0.97,0.3620357113382813,0.12987505451970677,0.12426791535598106,0.12618705145534706,0.0019191360993660034,0.27283353279679134,0.10093034768388892,0.51738,0.17958333333333334,0.8444444444444444,0.019,0.037163814180929094,38,393,7,1962
stft,shrinkage_mahalanobis,0.9,206.19293526384996,123.5913760553137,129.17599965911248,130.0834762338003,0.90747657468782,258.5555990439011,109.42146882568028,0.50539125,0.23291666666666666,0.8271604938271605,0.1005,0.1792242532322782,201,358,42,1799
stft,shrinkage_mahalanobis,0.95,249.20659232688703,123.5913760553137,129.17599965911248,130.0834762338003,0.90747657468782,258.5555990439011,109.42146882568028,0.50539125,0.20375,0.8296296296296296,0.056,0.10491803278688523,112,377,23,1888
stft,shrinkage_mahalanobis,0.97,275.08538075105446,123.5913760553137,129.17599965911248,130.0834762338003,0.90747657468782,258.5555990439011,109.42146882568028,0.50539125,0.2,0.8921568627450981,0.0455,0.08658420551855375,91,389,11,1909
cepstral,zdist,0.9,1.932905529292956,1.0000000000000002,1.0510460377705158,1.0119072400101736,-0.039138797760342126,3.6769672247711895,0.659131630224419,0.5176775,0.22458333333333333,0.7982832618025751,0.093,0.16659202866099418,186,353,47,1814
cepstral,zdist,0.95,3.082517390511777,1.0000000000000002,1.0510460377705158,1.0119072400101736,-0.039138797760342126,3.6769672247711895,0.659131630224419,0.5176775,0.1975,0.7846153846153846,0.051,0.09577464788732393,102,372,28,1898
cepstral,zdist,0.97,3.763604607025838,1.0000000000000002,1.0510460377705158,1.0119072400101736,-0.039138797760342126,3.6769672247711895,0.659131630224419,0.5176775,0.18958333333333333,0.7956989247311828,0.037,0.07071189679885331,74,381,19,1926
cepstral,pca_residual,0.9,0.1910890010842814,0.11429317944702526,0.12427272356178141,0.11730843548557189,-0.006964288076209524,0.28267791551583177,0.09884912467018328,0.48837875,0.23291666666666666,0.797752808988764,0.1065,0.1879135421261579,213,346,54,1787
cepstral,pca_residual,0.95,0.24379822607275084,0.11429317944702526,0.12427272356178141,0.11730843548557189,-0.006964288076209524,0.28267791551583177,0.09884912467018328,0.48837875,0.19541666666666666,0.7804878048780488,0.048,0.09043805934997645,96,373,27,1904
cepstral,pca_residual,0.97,0.27365585082985644,0.11429317944702526,0.12427272356178141,0.11730843548557189,-0.006964288076209524,0.28267791551583177,0.09884912467018328,0.48837875,0.18666666666666668,0.7608695652173914,0.035,0.06692160611854685,70,378,22,1930
cepstral,shrinkage_mahalanobis,0.9,68.8987889141986,41.367412915067945,44.110681672471856,42.21149928156782,-1.8991823909040377,93.17858172090516,35.61415726855608,0.48945875,0.23208333333333334,0.7875457875457875,0.1075,0.18917729872415306,215,342,58,1785
cepstral,shrinkage_mahalanobis,0.95,85.07843460636009,41.367412915067945,44.110681672471856,42.21149928156782,-1.8991823909040377,93.17858172090516,35.61415726855608,0.48945875,0.19875,0.7851851851851852,0.053,0.0992974238875878,106,371,29,1894
cepstral,shrinkage_mahalanobis,0.97,92.38959742621091,41.367412915067945,44.110681672471856,42.21149928156782,-1.8991823909040377,93.17858172090516,35.61415726855608,0.48945875,0.19208333333333333,0.7904761904761904,0.0415,0.07885985748218528,83,378,22,1917
cyclo,zdist,0.9,2.7010646566288705,0.9999999999999999,1.2073096585310978,1.079440183496445,-0.12786947503465274,5.360385856580028,0.46414677171006524,0.49044375,0.23416666666666666,0.8022388059701493,0.1075,0.18959435626102292,215,347,53,1785
cyclo,zdist,0.95,4.418427323918298,0.9999999999999999,1.2073096585310978,1.079440183496445,-0.12786947503465274,5.360385856580028,0.46414677171006524,0.49044375,0.20041666666666666,0.7956204379562044,0.0545,0.1020121665886757,109,372,28,1891
cyclo,zdist,0.97,5.388300137259517,0.9999999999999999,1.2073096585310978,1.079440183496445,-0.12786947503465274,5.360385856580028,0.46414677171006524,0.49044375,0.19041666666666668,0.8,0.038,0.07255369928400954,76,381,19,1924
cyclo,pca_residual,0.9,0.10927105774073541,0.060228403434219493,0.06382025330937481,0.06786222177357304,0.004041968464198228,0.15793309386744303,0.052376024666243276,0.51647125,0.2629166666666667,0.851063829787234,0.14,0.24044654358093603,280,351,49,1720
cyclo,pca_residual,0.95,0.13522950985885343,0.060228403434219493,0.06382025330937481,0.06786222177357304,0.004041968464198228,0.15793309386744303,0.052376024666243276,0.51647125,0.22041666666666668,0.8412698412698413,0.0795,0.14527181361352218,159,370,30,1841
cyclo,pca_residual,0.97,0.16739378251520456,0.060228403434219493,0.06382025330937481,0.06786222177357304,0.004041968464198228,0.15793309386744303,0.052376024666243276,0.51647125,0.19708333333333333,0.8411214953271028,0.045,0.08542952064546748,90,383,17,1910
cyclo,shrinkage_mahalanobis,0.9,59.1535376885703,34.405989225427966,38.752845040092716,37.59829306731983,-1.154551972772886,104.40870815990185,27.109249412313247,0.4989175,0.25708333333333333,0.8238805970149253,0.138,0.23640256959314776,276,341,59,1724
cyclo,shrinkage_mahalanobis,0.95,85.20422408100487,34.405989225427966,38.752845040092716,37.59829306731983,-1.154551972772886,104.40870815990185,27.109249412313247,0.4989175,0.21125,0.8165680473372781,0.069,0.12724757952973723,138,369,31,1862
cyclo,shrinkage_mahalanobis,0.97,106.91329559464697,34.405989225427966,38.752845040092716,37.59829306731983,-1.154551972772886,104.40870815990185,27.109249412313247,0.4989175,0.19291666666666665,0.8058252427184466,0.0415,0.07893485496909178,83,380,20,1917
hos,zdist,0.9,1.4253785109495722,0.9272727272727275,1.1876881778727961,1.0008375527390396,-0.1868506251337565,3.7632600925584385,0.3558333980365005,0.49113125,0.23291666666666666,0.7955390334572491,0.107,0.1886293521375055,214,345,55,1786
hos,zdist,0.95,2.882970751320241,0.9272727272727275,1.1876881778727961,1.0008375527390396,-0.1868506251337565,3.7632600925584385,0.3558333980365005,0.49113125,0.19,0.7222222222222222,0.0455,0.08560677328316087,91,365,35,1909
hos,zdist,0.97,3.797577785152134,0.9272727272727275,1.1876881778727961,1.0008375527390396,-0.1868506251337565,3.7632600925584385,0.3558333980365005,0.49113125,0.18666666666666668,0.7727272727272727,0.034,0.06513409961685825,68,380,20,1932
hos,pca_residual,0.9,0.1008473594234467,0.061840691886373776,0.13277019273337984,0.10624835949568097,-0.02652183323769887,0.2789454644914118,0.0348121905373831,0.503905,0.23875,0.8035087719298246,0.1145,0.20043763676148796,229,344,56,1771
hos,pca_residual,0.95,0.17072969711759664,0.061840691886373776,0.13277019273337984,0.10624835949568097,-0.02652183323769887,0.2789454644914118,0.0348121905373831,0.503905,0.20083333333333334,0.7847222222222222,0.0565,0.10541044776119403,113,369,31,1887
hos,pca_residual,0.97,0.25674548736235087,0.061840691886373776,0.13277019273337984,0.10624835949568097,-0.02652183323769887,0.2789454644914118,0.0348121905373831,0.503905,0.18583333333333332,0.7555555555555555,0.034,0.06507177033492823,68,378,22,1932
hos,shrinkage_mahalanobis,0.9,66.59964181333346,40.41601167285456,72.26445196913161,59.120077205645984,-13.14437476348563,136.36212268148495,22.01142159735099,0.5034725,0.23541666666666666,0.7854671280276817,0.1135,0.1983398864132809,227,338,62,1773
