representation,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
cyclo,shrinkage_mahalanobis,Tx1,0.9,59.1535376885703,100,13,87,0.13,37.367955179762404,109.24576285307229
cyclo,shrinkage_mahalanobis,Tx2,0.9,59.1535376885703,100,19,81,0.19,43.259751567160365,130.58390896932775
cyclo,shrinkage_mahalanobis,Tx3,0.9,59.1535376885703,100,13,87,0.13,37.90646960186565,96.97263957851057
cyclo,shrinkage_mahalanobis,Tx4,0.9,59.1535376885703,100,14,86,0.14,36.47720381158244,77.86525796073124
cyclo,shrinkage_mahalanobis,Tx1,0.95,85.20422408100487,100,9,91,0.09,37.367955179762404,109.24576285307229
cyclo,shrinkage_mahalanobis,Tx2,0.95,85.20422408100487,100,11,89,0.11,43.259751567160365,130.58390896932775
cyclo,shrinkage_mahalanobis,Tx3,0.95,85.20422408100487,100,7,93,0.07,37.90646960186565,96.97263957851057
cyclo,shrinkage_mahalanobis,Tx4,0.95,85.20422408100487,100,4,96,0.04,36.47720381158244,77.86525796073124
cyclo,shrinkage_mahalanobis,Tx1,0.97,106.91329559464697,100,6,94,0.06,37.367955179762404,109.24576285307229
cyclo,shrinkage_mahalanobis,Tx2,0.97,106.91329559464697,100,6,94,0.06,43.259751567160365,130.58390896932775
cyclo,shrinkage_mahalanobis,Tx3,0.97,106.91329559464697,100,5,95,0.05,37.90646960186565,96.97263957851057
cyclo,shrinkage_mahalanobis,Tx4,0.97,106.91329559464697,100,3,97,0.03,36.47720381158244,77.86525796073124
hos,zdist,Tx1,0.9,1.4253785109495722,100,14,86,0.14,0.877105949142561,3.9671584500075743
hos,zdist,Tx2,0.9,1.4253785109495722,100,14,86,0.14,2.0794400729048523,3.1923234137375145
hos,zdist,Tx3,0.9,1.4253785109495722,100,18,82,0.18,1.116622350319892,4.137698154526122
hos,zdist,Tx4,0.9,1.4253785109495722,100,9,91,0.09,0.6775843391238794,3.0215314935330193
hos,zdist,Tx1,0.95,2.882970751320241,100,9,91,0.09,0.877105949142561,3.9671584500075743
hos,zdist,Tx2,0.95,2.882970751320241,100,7,93,0.07,2.0794400729048523,3.1923234137375145
hos,zdist,Tx3,0.95,2.882970751320241,100,13,87,0.13,1.116622350319892,4.137698154526122
hos,zdist,Tx4,0.95,2.882970751320241,100,6,94,0.06,0.6775843391238794,3.0215314935330193
hos,zdist,Tx1,0.97,3.797577785152134,100,6,94,0.06,0.877105949142561,3.9671584500075743
hos,zdist,Tx2,0.97,3.797577785152134,100,4,96,0.04,2.0794400729048523,3.1923234137375145
hos,zdist,Tx3,0.97,3.797577785152134,100,7,93,0.07,1.116622350319892,4.137698154526122
hos,zdist,Tx4,0.97,3.797577785152134,100,3,97,0.03,0.6775843391238794,3.0215314935330193
hos,pca_residual,Tx1,0.9,0.1008473594234467,100,13,87,0.13,0.07696144878846484,0.22087614574855988
hos,pca_residual,Tx2,0.9,0.1008473594234467,100,16,84,0.16,0.3012768355681827,0.5693593117097341
hos,pca_residual,Tx3,0.9,0.1008473594234467,100,15,85,0.15,0.07529474930659918,0.22077300286893453
hos,pca_residual,Tx4,0.9,0.1008473594234467,100,12,88,0.12,0.07754773727027267,0.1780959660049875
hos,pca_residual,Tx1,0.95,0.17072969711759664,100,6,94,0.06,0.07696144878846484,0.22087614574855988
hos,pca_residual,Tx2,0.95,0.17072969711759664,100,10,90,0.1,0.3012768355681827,0.5693593117097341
hos,pca_residual,Tx3,0.95,0.17072969711759664,100,9,91,0.09,0.07529474930659918,0.22077300286893453
hos,pca_residual,Tx4,0.95,0.17072969711759664,100,6,94,0.06,0.07754773727027267,0.1780959660049875
hos,pca_residual,Tx1,0.97,0.25674548736235087,100,4,96,0.04,0.07696144878846484,0.22087614574855988
hos,pca_residual,Tx2,0.97,0.25674548736235087,100,8,92,0.08,0.3012768355681827,0.5693593117097341
hos,pca_residual,Tx3,0.97,0.25674548736235087,100,5,95,0.05,0.07529474930659918,0.22077300286893453
hos,pca_residual,Tx4,0.97,0.25674548736235087,100,5,95,0.05,0.07754773727027267,0.1780959660049875
hos,shrinkage_mahalanobis,Tx1,0.9,66.59964181333346,100,17,83,0.17,49.95639244545166,116.35316959235878
hos,shrinkage_mahalanobis,Tx2,0.9,66.59964181333346,100,16,84,0.16,148.1281713046059,316.4224595327411
hos,shrinkage_mahalanobis,Tx3,0.9,66.59964181333346,100,19,81,0.19,48.24827272144379,124.72707048041289
hos,shrinkage_mahalanobis,Tx4,0.9,66.59964181333346,100,10,90,0.1,42.72497140502506,109.92526710221573
hos,shrinkage_mahalanobis,Tx1,0.95,105.51236947610079,100,6,94,0.06,49.95639244545166,116.35316959235878
