pair,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq:ap,relation_zdist,Tx1,0.9,2.130124398019035,100,12,88,0.12,0.9367994162485711,4.560718303870687
iq:ap,relation_zdist,Tx2,0.9,2.130124398019035,100,13,87,0.13,1.6861294331057766,5.138881451161533
iq:ap,relation_zdist,Tx3,0.9,2.130124398019035,100,15,85,0.15,1.0484582262717477,4.870584537353946
iq:ap,relation_zdist,Tx4,0.9,2.130124398019035,100,8,92,0.08,0.5827719297424317,2.7388014564159375
iq:ap,relation_zdist,Tx1,0.95,4.106689245609339,100,7,93,0.07,0.9367994162485711,4.560718303870687
iq:ap,relation_zdist,Tx2,0.95,4.106689245609339,100,8,92,0.08,1.6861294331057766,5.138881451161533
iq:ap,relation_zdist,Tx3,0.95,4.106689245609339,100,8,92,0.08,1.0484582262717477,4.870584537353946
iq:ap,relation_zdist,Tx4,0.95,4.106689245609339,100,1,99,0.01,0.5827719297424317,2.7388014564159375
iq:ap,relation_zdist,Tx1,0.97,5.932951303866707,100,3,97,0.03,0.9367994162485711,4.560718303870687
iq:ap,relation_zdist,Tx2,0.97,5.932951303866707,100,4,96,0.04,1.6861294331057766,5.138881451161533
iq:ap,relation_zdist,Tx3,0.97,5.932951303866707,100,3,97,0.03,1.0484582262717477,4.870584537353946
iq:ap,relation_zdist,Tx4,0.97,5.932951303866707,100,0,100,0.0,0.5827719297424317,2.7388014564159375
iq:ap,relation_pca_residual,Tx1,0.9,0.30615907045470514,100,13,87,0.13,0.2310867446824054,0.8817191884783
iq:ap,relation_pca_residual,Tx2,0.9,0.30615907045470514,100,15,85,0.15,0.2676642175787816,0.881261665686621
iq:ap,relation_pca_residual,Tx3,0.9,0.30615907045470514,100,16,84,0.16,0.19811094698059967,0.7522770739621256
iq:ap,relation_pca_residual,Tx4,0.9,0.30615907045470514,100,13,87,0.13,0.13717362350837306,0.5492489003215694
iq:ap,relation_pca_residual,Tx1,0.95,0.6189853363617297,100,7,93,0.07,0.2310867446824054,0.8817191884783
