pair,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:ap,relation_zdist,0.9,2.1936066669799654,0.4673428571428571,0.17888888888888888,0.9689655172413794,0.16057142857142856,0.27549019607843134,562,82,18,2938
iq:ap,relation_zdist,0.95,4.094393708157549,0.4673428571428571,0.13583333333333333,0.9732360097323601,0.11428571428571428,0.2045512656609563,400,89,11,3100
iq:ap,relation_zdist,0.97,6.199780105517112,0.4673428571428571,0.10555555555555556,0.972972972972973,0.08228571428571428,0.15173867228661747,288,92,8,3212
iq:ap,relation_pca_residual,0.9,0.3308703881681182,0.48915714285714285,0.20722222222222222,0.9708454810495627,0.19028571428571428,0.31820353559483994,666,80,20,2834
iq:ap,relation_pca_residual,0.95,0.455325973792303,0.48915714285714285,0.17944444444444443,0.975609756097561,0.16,0.27491408934707906,560,86,14,2940
iq:ap,relation_pca_residual,0.97,0.6024711527504768,0.48915714285714285,0.15916666666666668,0.9797160243407708,0.138,0.24192336589030802,483,90,10,3017
iq:ap,relation_shrinkage_mahalanobis,0.9,76.62523901877604,0.4969314285714286,0.1875,0.9705400981996727,0.16942857142857143,0.2884942836292873,593,82,18,2907
iq:ap,relation_shrinkage_mahalanobis,0.95,113.3672687716927,0.4969314285714286,0.15833333333333333,0.9776422764227642,0.13742857142857143,0.24098196392785576,481,89,11,3019
iq:ap,relation_shrinkage_mahalanobis,0.97,159.59290683908955,0.4969314285714286,0.13111111111111112,0.9720812182741116,0.10942857142857143,0.19671289162814587,383,89,11,3117
iq:fft,relation_zdist,0.9,2.1202654970240014,0.5078,0.19083333333333333,0.9741518578352181,0.1722857142857143,0.29278951201748,603,84,16,2897
iq:fft,relation_zdist,0.95,4.116130996344741,0.5078,0.14472222222222222,0.9816933638443935,0.12257142857142857,0.2179324358648717,429,92,8,3071
iq:fft,relation_zdist,0.97,6.801508390694461,0.5078,0.10583333333333333,0.9795221843003413,0.082,0.1513313999472713,287,94,6,3213
iq:fft,relation_pca_residual,0.9,0.37484862524459533,0.5089885714285715,0.2136111111111111,0.9665271966527197,0.198,0.328669670381788,693,76,24,2807
iq:fft,relation_pca_residual,0.95,0.5633826118868043,0.5089885714285715,0.18388888888888888,0.9746621621621622,0.16485714285714287,0.2820136852394917,577,85,15,2923
iq:fft,relation_pca_residual,0.97,0.7121067379446442,0.5089885714285715,0.16416666666666666,0.9785575048732943,0.14342857142857143,0.2501868925990531,502,89,11,2998
iq:fft,relation_shrinkage_mahalanobis,0.9,65.60273677564437,0.5178457142857142,0.2075,0.9708879184861717,0.19057142857142856,0.31860520659183184,667,80,20,2833
iq:fft,relation_shrinkage_mahalanobis,0.95,120.50920538783889,0.5178457142857142,0.16083333333333333,0.9838383838383838,0.13914285714285715,0.2438047559449312,487,92,8,3013
iq:fft,relation_shrinkage_mahalanobis,0.97,173.33074307822324,0.5178457142857142,0.1325,0.9820971867007673,0.10971428571428571,0.19737856592135697,384,93,7,3116
iq:stft,relation_zdist,0.9,1.9619480421201443,0.46102,0.16305555555555556,0.9673704414587332,0.144,0.25068390947525493,504,83,17,2996
iq:stft,relation_zdist,0.95,3.0980557410437792,0.46102,0.105,0.9602649006622517,0.08285714285714285,0.15255128879537083,290,88,12,3210
iq:stft,relation_zdist,0.97,3.8265974562766836,0.46102,0.09083333333333334,0.9670781893004116,0.06714285714285714,0.12556772642265565,235,92,8,3265
iq:stft,relation_pca_residual,0.9,0.4263801154015615,0.44090285714285715,0.1913888888888889,0.9696969696969697,0.1737142857142857,0.29464502059607467,608,81,19,2892
iq:stft,relation_pca_residual,0.95,0.6198071190437213,0.44090285714285715,0.13333333333333333,0.9679802955665024,0.11228571428571428,0.20122887864823347,393,87,13,3107
iq:stft,relation_pca_residual,0.97,0.8587868667117514,0.44090285714285715,0.10305555555555555,0.9656357388316151,0.08028571428571428,0.14824584542337116,281,90,10,3219
iq:stft,relation_shrinkage_mahalanobis,0.9,64.59875194214567,0.4746114285714286,0.16722222222222222,0.9700374531835206,0.148,0.25681705503222607,518,84,16,2982
iq:stft,relation_shrinkage_mahalanobis,0.95,93.5719772397208,0.4746114285714286,0.12027777777777778,0.9663865546218487,0.09857142857142857,0.1788955146486907,345,88,12,3155
iq:stft,relation_shrinkage_mahalanobis,0.97,130.66764009807395,0.4746114285714286,0.09166666666666666,0.967479674796748,0.068,0.12706887346502937,238,92,8,3262
iq:cepstral,relation_zdist,0.9,2.3465321924913014,0.47397428571428574,0.17916666666666667,0.9755671902268761,0.15971428571428573,0.2744905475079794,559,86,14,2941
iq:cepstral,relation_zdist,0.95,3.4357309545010772,0.47397428571428574,0.14583333333333334,0.9796839729119639,0.124,0.2201369515597261,434,91,9,3066
iq:cepstral,relation_zdist,0.97,4.178238976391249,0.47397428571428574,0.1275,0.9761273209549072,0.10514285714285715,0.1898375032241424,368,91,9,3132
iq:cepstral,relation_pca_residual,0.9,0.45101168761224925,0.46736,0.21444444444444444,0.9772727272727273,0.19657142857142856,0.3273073263558516,688,84,16,2812
